Word,Amount
case,3710
right,3707
used,3706
believe,3704
oil,3702
letter,3702
additional,3697
june,3694
received,3690
past,3688
team,3682
days,3672
purchase,3669
retail,3665
point,3642
major,3640
lines,3628
plans,3621
paid,3620
international,3602
recent,3602
ca,3596
told,3594
susan,3579
yesterday,3561
total,3559
look,3557
data,3541
national,3532
resources,3529
assets,3529
able,3524
political,3522
big,3504
michael,3500
regarding,3487
independent,3478
control,3467
higher,3464
march,3461
businesses,3434
interest,3419
change,3414
open,3413
response,3412
line,3384
debt,3376
enough,3356
key,3355
caps,3341
average,3338
according,3324
reserved,3308
far,3301
large,3284
place,3282
karen,3276
regulators,3268
decision,3251
pipeline,3248
court,3242
january,3241
address,3232
cap,3232
yet,3231
l,3223
share,3211
street,3208
least,3200
file,3199
dynegy,3199
position,3194
francisco,3178
although,3155
given,3155
conservation,3155
future,3133
unit,3113
request,3102
send,3078
robert,3075
full,3074
move,3065
note,3062
megawatts,3062
final,3048
corporate,3037
site,3036
amount,3035
free,3033
employees,3015
points,3013
efforts,3011
competition,3011
small,3010
investment,3003
authority,2995
suppliers,2991
city,2977
filing,2970
release,2966
sales,2956
needed,2954
world,2947
weeks,2942
sure,2940
agency,2937
economic,2936
early,2935
gray,2931
mary,2928
currently,2926
consumer,2924
hearing,2917
fax,2909
commercial,2904
scott,2896
better,2889
addition,2888
around,2876
local,2870
facilities,2864
july,2860
presentation,2857
white,2856
situation,2838
assembly,2834
analysis,2833
result,2820
daily,2808
spokesman,2793
air,2791
important,2789
real,2780
cut,2771
cents,2763
filed,2754
west,2747
agreed,2746
significant,2744
largest,2740
allow,2736
approved,2727
area,2726
los,2720
offer,2708
others,2706
dabhol,2702
potential,2701
angeles,2697
customer,2689
lower,2688
scheduled,2683
later,2669
rick,2668
legal,2667
required,2665
competitive,2664
legislative,2652
distribution,2651
called,2650
phone,2644
among,2644
october,2637
getting,2632
provided,2622
projects,2622
soon,2618
load,2615
building,2606
approval,2606
short,2580
strategy,2577
summary,2575
document,2574
global,2568
tom,2556
things,2554
fact,2552
senior,2548
fuel,2547
recently,2547
texas,2542
emergency,2540
firm,2537
copy,2537
affairs,2533
done,2531
act,2531
added,2527
legislature,2523
rto,2522
solution,2519
ago,2515
little,2511
sacramento,2511
language,2508
thank,2504
making,2503
force,2502
investors,2502
basis,2499
top,2497
concerns,2496
december,2494
november,2494
run,2489
vice,2481
buying,2472
direct,2461
increases,2449
earlier,2448
level,2440
america,2437
country,2434
corp,2427
looking,2425
profits,2415
together,2403
return,2399
sale,2397
using,2396
western,2395
question,2388
private,2381
